,Mutation Type,Index,Change,Size,ID_type,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10,ID11,ID12,ID13,ID14,ID15,ID16,ID17
0,DEL_C_1_0,C,1.0,1.0,D,0.004476892,0.0,0.0,0.0,0.8214779959999999,0.0,0.0,0.0,6.69879762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,DEL_C_1_1,C,1.0,2.0,D,0.021658644,0.0,0.0,0.0,1.056246955,0.0,0.0,0.0,1.9998845199999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,DEL_C_1_2,C,1.0,3.0,D,9.268e-17,0.0,0.0,0.0,0.9840862990000001,0.0,0.0,0.0,0.0538131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,DEL_C_1_3,C,1.0,4.0,D,0.053413164,0.0,0.0,0.0,0.523887514,0.0,0.0,0.0,0.21250832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,DEL_C_1_4,C,1.0,5.0,D,0.01976772,0.0,0.0,0.0,0.106316614,0.0,0.0,0.0,0.24993803999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,DEL_C_1_5+,C,1.0,6.0,D,0.09436322,0.0,0.0,0.0,0.096290613,0.0,0.0,0.0,0.000896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,DEL_T_1_0,T,1.0,1.0,D,0.03672494,0.0,0.0,0.0,3.7548025130000005,0.0,0.0,0.0,2.10210746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,DEL_T_1_1,T,1.0,2.0,D,9.268e-17,0.0,0.0,0.0,3.9256856069999997,0.0,0.0,0.0,0.8858728199999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,DEL_T_1_2,T,1.0,3.0,D,0.026220684,0.0,0.0,0.0,4.222753168,0.0,0.0,0.0,1.7172391200000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,DEL_T_1_3,T,1.0,4.0,D,0.06428394,0.0,0.0,0.0,3.291601696,0.0,0.0,0.0,2.26501326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DEL_T_1_4,T,1.0,5.0,D,0.12015981600000002,0.0,0.0,0.0,1.9336026840000002,0.0,0.0,0.0,1.8882547399999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,DEL_T_1_5+,T,1.0,6.0,D,9.268e-17,0.0,0.0,0.0,1.1325893509999998,0.0,0.0,0.0,0.0185967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,INS_C_1_0,C,1.0,1.0,I,9.268e-17,0.0,0.0,0.0,0.020063324,0.0,0.0,0.0,1.0820000000000001e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,INS_C_1_1,C,1.0,2.0,I,9.268e-17,0.0,0.0,0.0,0.045987226000000006,0.0,0.0,0.0,3.86e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,INS_C_1_2,C,1.0,3.0,I,9.268e-17,0.0,0.0,0.0,0.116611679,0.0,0.0,0.0,0.007052460000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,INS_C_1_3,C,1.0,4.0,I,0.023687608000000002,0.0,0.0,0.0,0.022305376000000002,0.0,0.0,0.0,1.0820000000000001e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,INS_C_1_4,C,1.0,5.0,I,0.0499947,0.0,0.0,0.0,0.0073105340000000005,0.0,0.0,0.0,4.32e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,INS_C_1_5+,C,1.0,6.0,I,0.680303008,0.0,0.0,0.0,0.016041128,0.0,0.0,0.0,0.001474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,INS_T_1_0,T,1.0,1.0,I,0.063947072,0.0,0.0,0.0,0.23539270499999998,0.0,0.0,0.0,0.25228967999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
