,Mutation Type,Index,Change,Size,ID_type,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10,ID11,ID12,ID13,ID14,ID15,ID16,ID17
0,DEL_C_1_0,C,1.0,1.0,D,0.023343794,0.308743424,0.0,0.0,0.0,0.0,0.0,0.0,23.780731551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,DEL_C_1_1,C,1.0,2.0,D,0.112934358,0.0014144000000000001,0.0,0.0,0.0,0.0,0.0,0.0,7.099590045999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,DEL_C_1_2,C,1.0,3.0,D,4.8326e-16,0.00019904,0.0,0.0,0.0,0.0,0.0,0.0,0.19103650500000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,DEL_C_1_3,C,1.0,4.0,D,0.27851149799999997,0.158212864,0.0,0.0,0.0,0.0,0.0,0.0,0.754404536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,DEL_C_1_4,C,1.0,5.0,D,0.10307453999999999,0.246846464,0.0,0.0,0.0,0.0,0.0,0.0,0.8872800419999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,DEL_C_1_5+,C,1.0,6.0,D,0.49203679,0.9353871359999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0031807999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,DEL_T_1_0,T,1.0,1.0,D,0.19149433,0.505981824,0.0,0.0,0.0,0.0,0.0,0.0,7.462481483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,DEL_T_1_1,T,1.0,2.0,D,4.8326e-16,2.528e-16,0.0,0.0,0.0,0.0,0.0,0.0,3.1448485109999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,DEL_T_1_2,T,1.0,3.0,D,0.13672213800000002,0.45033075200000006,0.0,0.0,0.0,0.0,0.0,0.0,6.096198876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,DEL_T_1_3,T,1.0,4.0,D,0.33519483,1.295023552,0.0,0.0,0.0,0.0,0.0,0.0,8.040797073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DEL_T_1_4,T,1.0,5.0,D,0.6265476120000001,3.0156752,0.0,0.0,0.0,0.0,0.0,0.0,6.703304327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,DEL_T_1_5+,T,1.0,6.0,D,4.8326e-16,52.140622208,0.0,0.0,0.0,0.0,0.0,0.0,0.066018285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,INS_C_1_0,C,1.0,1.0,I,4.8326e-16,2.528e-16,0.0,0.0,0.0,0.0,0.0,0.0,3.8411000000000004e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,INS_C_1_1,C,1.0,2.0,I,4.8326e-16,0.014529664,0.0,0.0,0.0,0.0,0.0,0.0,0.00013703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,INS_C_1_2,C,1.0,3.0,I,4.8326e-16,0.0016768,0.0,0.0,0.0,0.0,0.0,0.0,0.025036233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,INS_C_1_3,C,1.0,4.0,I,0.12351395600000001,0.0275232,0.0,0.0,0.0,0.0,0.0,0.0,3.8411000000000004e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,INS_C_1_4,C,1.0,5.0,I,0.26068665,0.18635814399999998,0.0,0.0,0.0,0.0,0.0,0.0,0.00015336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,INS_C_1_5+,C,1.0,6.0,I,3.5472942560000003,0.577122304,0.0,0.0,0.0,0.0,0.0,0.0,0.0052327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,INS_T_1_0,T,1.0,1.0,I,0.33343830399999996,0.085027584,0.0,0.0,0.0,0.0,0.0,0.0,0.8956283639999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,INS_T_1_1,T,1.0,2.0,I,0.0058838,2.528e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.737354454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,INS_T_1_2,T,1.0,3.0,I,0.02815829,0.041410112,0.0,0.0,0.0,0.0,0.0,0.0,0.16434107299999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,INS_T_1_3,T,1.0,4.0,I,0.619516982,0.069304256,0.0,0.0,0.0,0.0,0.0,0.0,0.113662835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,INS_T_1_4,T,1.0,5.0,I,2.430772542,0.223197504,0.0,0.0,0.0,0.0,0.0,0.0,0.11256020500000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,INS_T_1_5+,T,1.0,6.0,I,130.07234374400002,0.20048544,0.0,0.0,0.0,0.0,0.0,0.0,0.40984608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,DEL_repeats_2_0,,,,,0.10016271600000001,0.010483776,0.0,0.0,0.0,0.0,0.0,0.0,0.9354070369999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,DEL_repeats_2_1,,,,,0.178115474,0.22840864,0.0,0.0,0.0,0.0,0.0,0.0,0.22709641099999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,DEL_repeats_2_2,,,,,0.06902135400000001,0.11837273599999999,0.0,0.0,0.0,0.0,0.0,0.0,0.084468487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,DEL_repeats_2_3,,,,,0.06230112,0.047298815999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0068089000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,DEL_repeats_2_4,,,,,0.0079716,0.056443648,0.0,0.0,0.0,0.0,0.0,0.0,3.8411000000000004e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,DEL_repeats_2_5+,,,,,4.8326e-16,2.9888e-16,0.0,0.0,0.0,0.0,0.0,0.0,3.8411000000000004e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,DEL_repeats_3_0,,,,,0.01869457,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.20292474500000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,DEL_repeats_3_1,,,,,0.73161841,0.320208512,0.0,0.0,0.0,0.0,0.0,0.0,0.30543560999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,DEL_repeats_3_2,,,,,0.112329918,0.146553024,0.0,0.0,0.0,0.0,0.0,0.0,0.090575907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,DEL_repeats_3_3,,,,,0.054203376,0.025765568,0.0,0.0,0.0,0.0,0.0,0.0,0.02144981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,DEL_repeats_3_4,,,,,4.8326e-16,2.5408e-16,0.0,0.0,0.0,0.0,0.0,0.0,3.8411000000000004e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,DEL_repeats_3_5+,,,,,4.8326e-16,2.528e-16,0.0,0.0,0.0,0.0,0.0,0.0,3.8411000000000004e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,DEL_repeats_4_0,,,,,0.0145562,0.0007744,0.0,0.0,0.0,0.0,0.0,0.0,0.101726954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,DEL_repeats_4_1,,,,,0.131473438,0.135410368,0.0,0.0,0.0,0.0,0.0,0.0,0.32618940700000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,DEL_repeats_4_2,,,,,0.00047158,0.034770688,0.0,0.0,0.0,0.0,0.0,0.0,0.063617704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,DEL_repeats_4_3,,,,,4.8326e-16,0.00046528,0.0,0.0,0.0,0.0,0.0,0.0,0.0016898000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,DEL_repeats_4_4,,,,,4.8326e-16,2.528e-16,0.0,0.0,0.0,0.0,0.0,0.0,3.8411000000000004e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,DEL_repeats_4_5+,,,,,0.0042194,0.013466431999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0009726999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,DEL_repeats_5+_0,,,,,0.0012190999999999999,0.002464,0.0,0.0,0.0,0.0,0.0,0.0,0.054815692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,DEL_repeats_5+_1,,,,,0.027838695999999996,0.19056076800000002,0.0,0.0,0.0,0.0,0.0,0.0,0.034048121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,DEL_repeats_5+_2,,,,,0.018447830000000002,0.0254416,0.0,0.0,0.0,0.0,0.0,0.0,0.018812798999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,DEL_repeats_5+_3,,,,,0.0027594,0.010121664,0.0,0.0,0.0,0.0,0.0,0.0,0.00043452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,DEL_repeats_5+_4,,,,,0.00045406,0.0054208,0.0,0.0,0.0,0.0,0.0,0.0,0.00051475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,DEL_repeats_5+_5+,,,,,0.004569800000000001,0.0013568,0.0,0.0,0.0,0.0,0.0,0.0,0.0021229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,INS_repeats_2_0,,,,,0.058697255999999996,0.021238592,0.0,0.0,0.0,0.0,0.0,0.0,0.082526069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,INS_repeats_2_1,,,,,0.0011504800000000002,0.01738656,0.0,0.0,0.0,0.0,0.0,0.0,0.14911363200000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,INS_repeats_2_2,,,,,0.032316662,0.066261824,0.0,0.0,0.0,0.0,0.0,0.0,0.054026811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,INS_repeats_2_3,,,,,0.075083128,0.024404864,0.0,0.0,0.0,0.0,0.0,0.0,0.024966085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,INS_repeats_2_4,,,,,0.4253126,0.126555072,0.0,0.0,0.0,0.0,0.0,0.0,0.0021797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,INS_repeats_2_5+,,,,,2.645751264,0.8725360640000001,0.0,0.0,0.0,0.0,0.0,0.0,3.8411000000000004e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,INS_repeats_3_0,,,,,4.4676000000000004e-05,0.0036991999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.018074683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,INS_repeats_3_1,,,,,0.03718547,0.0785312,0.0,0.0,0.0,0.0,0.0,0.0,0.058458205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,INS_repeats_3_2,,,,,0.0064386,0.0134448,0.0,0.0,0.0,0.0,0.0,0.0,0.008396531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,INS_repeats_3_3,,,,,0.024338492000000003,0.00019328,0.0,0.0,0.0,0.0,0.0,0.0,0.00036778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,INS_repeats_3_4,,,,,0.0129794,0.009075648,0.0,0.0,0.0,0.0,0.0,0.0,0.0011431000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,INS_repeats_3_5+,,,,,0.182309616,0.11934124800000001,0.0,0.0,0.0,0.0,0.0,0.0,3.8411000000000004e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,INS_repeats_4_0,,,,,4.8326e-16,0.0010752000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.011671477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,INS_repeats_4_1,,,,,0.108679626,0.077038592,0.0,0.0,0.0,0.0,0.0,0.0,0.050805115000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,INS_repeats_4_2,,,,,0.011023000000000002,0.0007808,0.0,0.0,0.0,0.0,0.0,0.0,0.0030104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,INS_repeats_4_3,,,,,0.023001424,0.008586816,0.0,0.0,0.0,0.0,0.0,0.0,0.0015265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,INS_repeats_4_4,,,,,0.046669338,0.01596064,0.0,0.0,0.0,0.0,0.0,0.0,3.8411000000000004e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,INS_repeats_4_5+,,,,,0.14619272,0.14038688,0.0,0.0,0.0,0.0,0.0,0.0,0.00015477999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,INS_repeats_5+_0,,,,,4.8326e-16,2.528e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.011775065999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,INS_repeats_5+_1,,,,,0.210696396,0.008682111999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.089033716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,INS_repeats_5+_2,,,,,0.037205472,0.00035392,0.0,0.0,0.0,0.0,0.0,0.0,0.007302278999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,INS_repeats_5+_3,,,,,0.034614702,0.0062528,0.0,0.0,0.0,0.0,0.0,0.0,0.0056942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,INS_repeats_5+_4,,,,,0.03823229,0.0001376,0.0,0.0,0.0,0.0,0.0,0.0,0.0035855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,INS_repeats_5+_5+,,,,,0.017495764,0.007400256,0.0,0.0,0.0,0.0,0.0,0.0,0.00070219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,DEL_MH_2_1,,,,,0.17488099000000001,0.011235392,0.0,0.0,0.0,0.0,0.0,0.0,0.276969012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,DEL_MH_3_1,,,,,0.011957400000000002,3.4944e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.21380428799999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,DEL_MH_3_2,,,,,0.216020578,0.188420032,0.0,0.0,0.0,0.0,0.0,0.0,0.10957444200000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,DEL_MH_4_1,,,,,0.012234799999999999,0.00940832,0.0,0.0,0.0,0.0,0.0,0.0,0.136868191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,DEL_MH_4_2,,,,,0.021239934000000002,0.035239296,0.0,0.0,0.0,0.0,0.0,0.0,0.23411880799999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,DEL_MH_4_3,,,,,0.023459864,0.044388224000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.180629609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,DEL_MH_5+_1,,,,,0.00011913599999999998,0.039997632000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0025134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,DEL_MH_5+_2,,,,,3.4748e-08,0.0075333119999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.015707756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,DEL_MH_5+_3,,,,,3.4018e-10,0.0036288,0.0,0.0,0.0,0.0,0.0,0.0,0.04053439699999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,DEL_MH_5+_4,,,,,0.005664799999999999,0.029621888,0.0,0.0,0.0,0.0,0.0,0.0,0.031829868000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,DEL_MH_5+_5+,,,,,0.09710693600000002,0.151508416,0.0,0.0,0.0,0.0,0.0,0.0,3.8411000000000004e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
