,Mutation Type,Index,Change,Size,ID_type,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10,ID11,ID12,ID13,ID14,ID15,ID16,ID17
0,DEL_C_1_0,C,1.0,1.0,D,0.008793895,0.207436988,0.0,0.601726511,0.0,0.0,0.0,2.150688132,21.771092265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,DEL_C_1_1,C,1.0,2.0,D,0.042543765000000004,0.0009503000000000001,0.0,0.22699412700000005,0.0,0.0,0.0,1.2914606519999998,6.499624689999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,DEL_C_1_2,C,1.0,3.0,D,1.8205e-16,0.00013372999999999998,0.0,0.169408229,0.0,0.0,0.0,0.17984991600000003,0.174892575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,DEL_C_1_3,C,1.0,4.0,D,0.104918715,0.106299268,0.0,0.09231948899999999,0.0,0.0,0.0,0.29177026200000006,0.69065204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,DEL_C_1_4,C,1.0,5.0,D,0.03882945,0.165849968,0.0,0.089281772,0.0,0.0,0.0,0.06888828599999999,0.8122986299999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,DEL_C_1_5+,C,1.0,6.0,D,0.185356325,0.628463232,0.0,0.18643277399999997,0.0,0.0,0.0,0.050421365999999995,0.0029119999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,DEL_T_1_0,T,1.0,1.0,D,0.072138275,0.33995653800000003,0.0,0.550709316,0.0,0.0,0.0,1.8491590980000001,6.831849245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,DEL_T_1_1,T,1.0,2.0,D,1.8205e-16,1.6985e-16,0.0,0.134664678,0.0,0.0,0.0,0.564412104,2.8790866649999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,DEL_T_1_2,T,1.0,3.0,D,0.051504915000000005,0.302565974,0.0,0.218572615,0.0,0.0,0.0,0.48556962,5.58102714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,DEL_T_1_3,T,1.0,4.0,D,0.12627202499999998,0.8700939489999999,0.0,0.025401154000000002,0.0,0.0,0.0,0.53055243,7.361293095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DEL_T_1_4,T,1.0,5.0,D,0.23602821000000002,2.026156775,0.0,0.084925766,0.0,0.0,0.0,0.06878412,6.136827905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,DEL_T_1_5+,T,1.0,6.0,D,1.8205e-16,35.031980546,0.0,0.012818686,0.0,0.0,0.0,0.5734984679999999,0.060439274999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,INS_C_1_0,C,1.0,1.0,I,1.8205e-16,1.6985e-16,0.0,5.4946e-16,0.0,0.0,0.0,0.14927063399999999,3.5165000000000005e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,INS_C_1_1,C,1.0,2.0,I,1.8205e-16,0.009762118,0.0,0.022609116999999998,0.0,0.0,0.0,0.11713242599999998,0.00012545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,INS_C_1_2,C,1.0,3.0,I,1.8205e-16,0.0011266,0.0,0.005710399999999999,0.0,0.0,0.0,0.08245799999999999,0.022920495000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,INS_C_1_3,C,1.0,4.0,I,0.046529230000000005,0.018492150000000002,0.0,0.042535922999999996,0.0,0.0,0.0,0.006292296,3.5165000000000005e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,INS_C_1_4,C,1.0,5.0,I,0.098203875,0.12520937799999998,0.0,5.4946e-16,0.0,0.0,0.0,0.029925557999999998,0.0001404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,INS_C_1_5+,C,1.0,6.0,I,1.33630948,0.38775404799999996,0.0,0.020678869000000002,0.0,0.0,0.0,0.026432406,0.0047905000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,INS_T_1_0,T,1.0,1.0,I,0.12561032,0.057127908000000005,0.0,0.027694195,0.0,0.0,0.0,0.24343086600000002,0.8199414599999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,INS_T_1_1,T,1.0,2.0,I,0.0022164999999999997,1.6985e-16,0.0,0.083833652,0.0,0.0,0.0,0.262909584,0.67504281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,INS_T_1_2,T,1.0,3.0,I,0.010607575,0.027822419,0.0,0.0008798,0.0,0.0,0.0,0.077200344,0.15045309499999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,INS_T_1_3,T,1.0,4.0,I,0.233379685,0.046563797,0.0,0.014436605,0.0,0.0,0.0,0.058713444000000004,0.104057525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,INS_T_1_4,T,1.0,5.0,I,0.915701985,0.149960823,0.0,0.001328,0.0,0.0,0.0,0.044421372,0.103048075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,INS_T_1_5+,T,1.0,6.0,I,48.999855520000004,0.134701155,0.0,0.069132858,0.0,0.0,0.0,1.0887073919999999,0.3752112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,DEL_repeats_2_0,,,,,0.03773253,0.007043787,0.0,5.953109762,0.0,0.0,0.0,0.473537826,0.8563585549999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,DEL_repeats_2_1,,,,,0.067098295,0.15346205499999999,0.0,19.13256904,0.0,0.0,0.0,0.5565858300000001,0.20790516499999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,DEL_repeats_2_2,,,,,0.026001195,0.07953168199999999,0.0,4.569929868,0.0,0.0,0.0,0.028729404,0.077330305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,DEL_repeats_2_3,,,,,0.0234696,0.031778891999999996,0.0,1.063313498,0.0,0.0,0.0,0.0014634000000000001,0.006233500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,DEL_repeats_2_4,,,,,0.0030030000000000005,0.037923076,0.0,0.26719509399999997,0.0,0.0,0.0,0.014797458,3.5165000000000005e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,DEL_repeats_2_5+,,,,,1.8205e-16,2.0081e-16,0.0,0.197765843,0.0,0.0,0.0,0.044986266,3.5165000000000005e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,DEL_repeats_3_0,,,,,0.007042475,0.0005375,0.0,0.42072318200000003,0.0,0.0,0.0,0.592061454,0.18577617500000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,DEL_repeats_3_1,,,,,0.275609675,0.215140094,0.0,8.060500678,0.0,0.0,0.0,0.072838818,0.27962415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,DEL_repeats_3_2,,,,,0.042316065,0.098465313,0.0,1.783195406,0.0,0.0,0.0,0.020334834,0.082921605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,DEL_repeats_3_3,,,,,0.02041908,0.017311240999999998,0.0,0.318523041,0.0,0.0,0.0,0.013689486,0.019637150000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,DEL_repeats_3_4,,,,,1.8205e-16,1.7071e-16,0.0,0.065262485,0.0,0.0,0.0,0.00014472,3.5165000000000005e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,DEL_repeats_3_5+,,,,,1.8205e-16,1.6985e-16,0.0,0.09450454699999998,0.0,0.0,0.0,0.004914,3.5165000000000005e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,DEL_repeats_4_0,,,,,0.0054835,0.0005203,0.0,0.601951607,0.0,0.0,0.0,0.361330686,0.09313031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,DEL_repeats_4_1,,,,,0.049527665,0.090978841,0.0,5.27246959,0.0,0.0,0.0,0.08763957,0.29862410500000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,DEL_repeats_4_2,,,,,0.00017765,0.023361556000000002,0.0,1.207560526,0.0,0.0,0.0,0.014721642,0.05824156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,DEL_repeats_4_3,,,,,1.8205e-16,0.00031261,0.0,0.37804441600000005,0.0,0.0,0.0,0.0015552,0.0015470000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,DEL_repeats_4_4,,,,,1.8205e-16,1.6985e-16,0.0,0.070523357,0.0,0.0,0.0,0.0052542,3.5165000000000005e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
