,Mutation Type,Index,Change,Size,ID_type,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10,ID11,ID12,ID13,ID14,ID15,ID16,ID17
0,DEL_C_1_0,C,1.0,1.0,D,0.010073007,0.0,0.0,0.0,2.2646150159999996,0.0,0.0,1.871895226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,DEL_C_1_1,C,1.0,2.0,D,0.048731949000000004,0.0,0.0,0.0,2.91181593,0.0,0.0,1.1240490859999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,DEL_C_1_2,C,1.0,3.0,D,2.0852999999999998e-16,0.0,0.0,0.0,2.7128865540000002,0.0,0.0,0.15653603800000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,DEL_C_1_3,C,1.0,4.0,D,0.12017961899999999,0.0,0.0,0.0,1.444230444,0.0,0.0,0.25394819100000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,DEL_C_1_4,C,1.0,5.0,D,0.04447737,0.0,0.0,0.0,0.293089044,0.0,0.0,0.059958322999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,DEL_C_1_5+,C,1.0,6.0,D,0.212317245,0.0,0.0,0.0,0.26544979799999996,0.0,0.0,0.043885262999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,DEL_T_1_0,T,1.0,1.0,D,0.082631115,0.0,0.0,0.0,10.351077198,0.0,0.0,1.6094532890000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,DEL_T_1_1,T,1.0,2.0,D,2.0852999999999998e-16,0.0,0.0,0.0,10.822160322,0.0,0.0,0.49124757199999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,DEL_T_1_2,T,1.0,3.0,D,0.05899653900000001,0.0,0.0,0.0,11.641103328,0.0,0.0,0.42262541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,DEL_T_1_3,T,1.0,4.0,D,0.14463886499999998,0.0,0.0,0.0,9.074145216,0.0,0.0,0.46177711499999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DEL_T_1_4,T,1.0,5.0,D,0.27035958600000004,0.0,0.0,0.0,5.330472264000001,0.0,0.0,0.059867659999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,DEL_T_1_5+,T,1.0,6.0,D,2.0852999999999998e-16,0.0,0.0,0.0,3.1222733459999996,0.0,0.0,0.499156074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,INS_C_1_0,C,1.0,1.0,I,2.0852999999999998e-16,0.0,0.0,0.0,0.055309704,0.0,0.0,0.12992073699999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,INS_C_1_1,C,1.0,2.0,I,2.0852999999999998e-16,0.0,0.0,0.0,0.12677559600000002,0.0,0.0,0.10194859299999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,INS_C_1_2,C,1.0,3.0,I,2.0852999999999998e-16,0.0,0.0,0.0,0.321470034,0.0,0.0,0.071769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,INS_C_1_3,C,1.0,4.0,I,0.053297118000000004,0.0,0.0,0.0,0.061490496,0.0,0.0,0.005476628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,INS_C_1_4,C,1.0,5.0,I,0.112488075,0.0,0.0,0.0,0.020153364000000003,0.0,0.0,0.026046319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,INS_C_1_5+,C,1.0,6.0,I,1.530681768,0.0,0.0,0.0,0.044221488,0.0,0.0,0.023005982999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,INS_T_1_0,T,1.0,1.0,I,0.143880912,0.0,0.0,0.0,0.64892043,0.0,0.0,0.21187501300000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,INS_T_1_1,T,1.0,2.0,I,0.0025388999999999998,0.0,0.0,0.0,1.373195094,0.0,0.0,0.228828712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,INS_T_1_2,T,1.0,3.0,I,0.012150494999999999,0.0,0.0,0.0,3.0315566879999998,0.0,0.0,0.067192892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,INS_T_1_3,T,1.0,4.0,I,0.267325821,0.0,0.0,0.0,1.9217054999999998,0.0,0.0,0.051102442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,INS_T_1_4,T,1.0,5.0,I,1.048895001,0.0,0.0,0.0,1.149412704,0.0,0.0,0.038663046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
