,Mutation Type,Index,Change,Size,ID_type,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10,ID11,ID12,ID13,ID14,ID15,ID16,ID17
0,DEL_C_1_0,C,1.0,1.0,D,0.016468567,0.46793925199999997,0.0,0.0,5.062080624,0.0,0.0,0.0,30.814469052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,DEL_C_1_1,C,1.0,2.0,D,0.07967286900000001,0.0021437,0.0,0.0,6.50876502,0.0,0.0,0.0,9.199468792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,DEL_C_1_2,C,1.0,3.0,D,3.4092999999999995e-16,0.00030167,0.0,0.0,6.064099356000001,0.0,0.0,0.0,0.24754026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,DEL_C_1_3,C,1.0,4.0,D,0.19648413899999997,0.239791372,0.0,0.0,3.228279816,0.0,0.0,0.0,0.977538272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,DEL_C_1_4,C,1.0,5.0,D,0.07271696999999999,0.374126672,0.0,0.0,0.655140216,0.0,0.0,0.0,1.1497149839999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,DEL_C_1_5+,C,1.0,6.0,D,0.347121845,1.4176961279999998,0.0,0.0,0.593358372,0.0,0.0,0.0,0.0041216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,DEL_T_1_0,T,1.0,1.0,D,0.135095315,0.7668787020000001,0.0,0.0,23.137701972000002,0.0,0.0,0.0,9.669694316000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,DEL_T_1_1,T,1.0,2.0,D,3.4092999999999995e-16,3.8314999999999997e-16,0.0,0.0,24.190711308,0.0,0.0,0.0,4.075014972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,DEL_T_1_2,T,1.0,3.0,D,0.09645465900000001,0.6825325460000001,0.0,0.0,26.021289792,0.0,0.0,0.0,7.899299952000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,DEL_T_1_3,T,1.0,4.0,D,0.23647306499999998,1.962770071,0.0,0.0,20.283383424,0.0,0.0,0.0,10.419060996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DEL_T_1_4,T,1.0,5.0,D,0.44201646600000005,4.570632725,0.0,0.0,11.915173296,0.0,0.0,0.0,8.685971804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,DEL_T_1_5+,T,1.0,6.0,D,3.4092999999999995e-16,79.025630534,0.0,0.0,6.979199243999999,0.0,0.0,0.0,0.08554482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
