,Mutation Type,Index,Change,Size,ID_type,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10,ID11,ID12,ID13,ID14,ID15,ID16,ID17
0,DEL_C_1_0,C,1.0,1.0,D,0.005596115,0.0,25.943238672,0.0,19.959695091999997,0.0,0.0,7.208787998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,DEL_C_1_1,C,1.0,2.0,D,0.027073305000000002,0.0,43.446243151999994,0.0,25.663946285,0.0,0.0,4.328784777999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,DEL_C_1_2,C,1.0,3.0,D,1.1585e-16,0.0,36.675437136,0.0,23.910637373000004,0.0,0.0,0.6028302740000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,DEL_C_1_3,C,1.0,4.0,D,0.06676645499999999,0.0,13.320894912,0.0,12.729050678,0.0,0.0,0.9779706930000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,DEL_C_1_4,C,1.0,5.0,D,0.02470965,0.0,9.149880064,0.0,2.583206378,0.0,0.0,0.230903329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,DEL_C_1_5+,C,1.0,6.0,D,0.11795402499999999,0.0,4.662837088,0.0,2.3396016509999997,0.0,0.0,0.169004949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,DEL_T_1_0,T,1.0,1.0,D,0.045906175,0.0,7.820639839999999,0.0,91.23155295100001,0.0,0.0,6.1981073470000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,DEL_T_1_1,T,1.0,2.0,D,1.1585e-16,0.0,2.768443392,0.0,95.383550289,0.0,0.0,1.8918257559999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,DEL_T_1_2,T,1.0,3.0,D,0.032775855,0.0,3.4323850080000002,0.0,102.601489136,0.0,0.0,1.62755743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,DEL_T_1_3,T,1.0,4.0,D,0.080354925,0.0,4.1894272159999995,0.0,79.977024992,0.0,0.0,1.778333145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DEL_T_1_4,T,1.0,5.0,D,0.15019977,0.0,3.2893877119999995,0.0,46.98131926800001,0.0,0.0,0.23055418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,DEL_T_1_5+,T,1.0,6.0,D,1.1585e-16,0.0,1.677793312,0.0,27.518860176999997,0.0,0.0,1.922281902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,INS_C_1_0,C,1.0,1.0,I,1.1585e-16,0.0,0.433283136,0.0,0.487484548,0.0,0.0,0.5003330509999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,INS_C_1_1,C,1.0,2.0,I,1.1585e-16,0.0,0.32840849600000005,0.0,1.117365302,0.0,0.0,0.3926105389999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
