,Mutation Type,Index,Change,Size,ID_type,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10,ID11,ID12,ID13,ID14,ID15,ID16,ID17
0,DEL_C_1_0,C,1.0,1.0,D,0.002718113,0.043417044,2.619269289,0.0,0.0,0.0,0.0,0.0,4.019278572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,DEL_C_1_1,C,1.0,2.0,D,0.013149891,0.0001989,4.386399548999999,0.0,0.0,0.0,0.0,0.0,1.199930712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,DEL_C_1_2,C,1.0,3.0,D,5.627e-17,2.7989999999999998e-05,3.702808557,0.0,0.0,0.0,0.0,0.0,0.03228786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,DEL_C_1_3,C,1.0,4.0,D,0.032429421,0.022248684,1.344898044,0.0,0.0,0.0,0.0,0.0,0.127504992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,DEL_C_1_4,C,1.0,5.0,D,0.01200183,0.034712784,0.923785968,0.0,0.0,0.0,0.0,0.0,0.149962824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,DEL_C_1_5+,C,1.0,6.0,D,0.057291955,0.13153881599999998,0.470767206,0.0,0.0,0.0,0.0,0.0,0.0005376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,DEL_T_1_0,T,1.0,1.0,D,0.022297285,0.071153694,0.78958383,0.0,0.0,0.0,0.0,0.0,1.261264476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,DEL_T_1_1,T,1.0,2.0,D,5.627e-17,3.555e-17,0.279506304,0.0,0.0,0.0,0.0,0.0,0.5315236919999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,DEL_T_1_2,T,1.0,3.0,D,0.015919701,0.06332776200000001,0.346538871,0.0,0.0,0.0,0.0,0.0,1.030343472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,DEL_T_1_3,T,1.0,4.0,D,0.039029535,0.182112687,0.42297101699999995,0.0,0.0,0.0,0.0,0.0,1.3590079560000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DEL_T_1_4,T,1.0,5.0,D,0.07295417400000001,0.424079325,0.332101644,0.0,0.0,0.0,0.0,0.0,1.132952844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,DEL_T_1_5+,T,1.0,6.0,D,5.627e-17,7.332274998000001,0.169392594,0.0,0.0,0.0,0.0,0.0,0.01115802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,INS_C_1_0,C,1.0,1.0,I,5.627e-17,3.555e-17,0.043744932,0.0,0.0,0.0,0.0,0.0,6.492e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,INS_C_1_1,C,1.0,2.0,I,5.627e-17,0.002043234,0.033156627,0.0,0.0,0.0,0.0,0.0,2.3160000000000002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,INS_C_1_2,C,1.0,3.0,I,5.627e-17,0.00023579999999999999,0.036706866,0.0,0.0,0.0,0.0,0.0,0.0042314760000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,INS_C_1_3,C,1.0,4.0,I,0.014381762000000001,0.00387045,0.12973058699999998,0.0,0.0,0.0,0.0,0.0,6.492e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,INS_C_1_4,C,1.0,5.0,I,0.030353925,0.026206613999999996,0.149193387,0.0,0.0,0.0,0.0,0.0,2.5920000000000003e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,INS_C_1_5+,C,1.0,6.0,I,0.413041112,0.08115782399999999,0.154373121,0.0,0.0,0.0,0.0,0.0,0.0008844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,INS_T_1_0,T,1.0,1.0,I,0.038825007999999994,0.011957004,0.393169665,0.0,0.0,0.0,0.0,0.0,0.151373808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,INS_T_1_1,T,1.0,2.0,I,0.0006850999999999999,3.555e-17,0.905499609,0.0,0.0,0.0,0.0,0.0,0.124623288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,INS_T_1_2,T,1.0,3.0,I,0.003278705,0.005823297,0.84329784,0.0,0.0,0.0,0.0,0.0,0.027775955999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,INS_T_1_3,T,1.0,4.0,I,0.072135539,0.009745911,0.5276341139999999,0.0,0.0,0.0,0.0,0.0,0.01921062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
