,Mutation Type,Index,Change,Size,ID_type,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10,ID11,ID12,ID13,ID14,ID15,ID16,ID17
0,DEL_C_1_0,C,1.0,1.0,D,0.04636781,0.569245688,19.457429004,0.0,8.592215796,0.0,0.0,9.518786362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,DEL_C_1_1,C,1.0,2.0,D,0.22432167,0.0026078000000000004,32.584682363999995,0.0,11.047772205000001,0.0,0.0,5.715909182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,DEL_C_1_2,C,1.0,3.0,D,9.598999999999999e-16,0.00036698,27.506577852,0.0,10.293010749,0.0,0.0,0.796002406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,DEL_C_1_3,C,1.0,4.0,D,0.55320777,0.291704968,9.990671184,0.0,5.479580214,0.0,0.0,1.2913535670000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,DEL_C_1_4,C,1.0,5.0,D,0.2047371,0.45512316799999997,6.862410048,0.0,1.112014314,0.0,0.0,0.30489445099999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,DEL_C_1_5+,C,1.0,6.0,D,0.97733335,1.7246200319999998,3.497127816,0.0,1.0071477629999999,0.0,0.0,0.223161231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,DEL_T_1_0,T,1.0,1.0,D,0.38036545,0.9329039880000001,5.86547988,0.0,39.273204663,0.0,0.0,8.184241193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,DEL_T_1_1,T,1.0,2.0,D,9.598999999999999e-16,4.661e-16,2.076332544,0.0,41.060549457,0.0,0.0,2.498046164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,DEL_T_1_2,T,1.0,3.0,D,0.27157137000000003,0.8302973240000001,2.574288756,0.0,44.167715568,0.0,0.0,2.14909517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,DEL_T_1_3,T,1.0,4.0,D,0.66579795,2.387699674,3.142070412,0.0,34.428374496,0.0,0.0,2.348185755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DEL_T_1_4,T,1.0,5.0,D,1.2445123800000002,5.56015115,2.4670407839999995,0.0,20.224438884,0.0,0.0,0.30443342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,DEL_T_1_5+,T,1.0,6.0,D,9.598999999999999e-16,96.13427219600001,1.258344984,0.0,11.846272400999998,0.0,0.0,2.538261738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,INS_C_1_0,C,1.0,1.0,I,9.598999999999999e-16,4.661e-16,0.324962352,0.0,0.209851524,0.0,0.0,0.6606607689999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,INS_C_1_1,C,1.0,2.0,I,9.598999999999999e-16,0.026789068,0.24630637200000002,0.0,0.481001526,0.0,0.0,0.5184194409999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,INS_C_1_2,C,1.0,3.0,I,9.598999999999999e-16,0.0030916,0.272679576,0.0,1.219695129,0.0,0.0,0.36495299999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,INS_C_1_3,C,1.0,4.0,I,0.24533594000000003,0.050745900000000004,0.963712932,0.0,0.233302176,0.0,0.0,0.027849236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,INS_C_1_4,C,1.0,5.0,I,0.51780225,0.34359782799999994,1.108293732,0.0,0.076464234,0.0,0.0,0.132448303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,INS_C_1_5+,C,1.0,6.0,I,7.04599544,1.064069248,1.146771756,0.0,0.167781528,0.0,0.0,0.116987871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,INS_T_1_0,T,1.0,1.0,I,0.66230896,0.156769608,2.9206889400000002,0.0,2.4620804549999997,0.0,0.0,1.0774069810000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
