,Mutation Type,Index,Change,Size,ID_type,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10,ID11,ID12,ID13,ID14,ID15,ID16,ID17
0,DEL_C_1_0,C,1.0,1.0,D,0.006075782,0.130251132,0.0,0.0,0.0,0.0,0.0,2.827756618,38.518086315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,DEL_C_1_1,C,1.0,2.0,D,0.029393874,0.0005967,0.0,0.0,0.0,0.0,0.0,1.6980315979999998,11.499335989999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,DEL_C_1_2,C,1.0,3.0,D,1.2578e-16,8.397e-05,0.0,0.0,0.0,0.0,0.0,0.23646933400000003,0.30942532500000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,DEL_C_1_3,C,1.0,4.0,D,0.072489294,0.066746052,0.0,0.0,0.0,0.0,0.0,0.38362386300000006,1.22192284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,DEL_C_1_4,C,1.0,5.0,D,0.02682762,0.10413835199999999,0.0,0.0,0.0,0.0,0.0,0.09057533899999999,1.4371437299999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,DEL_C_1_5+,C,1.0,6.0,D,0.12806436999999998,0.39461644799999995,0.0,0.0,0.0,0.0,0.0,0.066294759,0.0051519999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,DEL_T_1_0,T,1.0,1.0,D,0.04984099,0.21346108200000002,0.0,0.0,0.0,0.0,0.0,2.4313017770000003,12.087117895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,DEL_T_1_1,T,1.0,2.0,D,1.2578e-16,1.0664999999999999e-16,0.0,0.0,0.0,0.0,0.0,0.7420973959999999,5.0937687149999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,DEL_T_1_2,T,1.0,3.0,D,0.035585214000000004,0.18998328600000003,0.0,0.0,0.0,0.0,0.0,0.6384341299999999,9.87412494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,DEL_T_1_3,T,1.0,4.0,D,0.08724248999999999,0.5463380609999999,0.0,0.0,0.0,0.0,0.0,0.697578195,13.023826245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DEL_T_1_4,T,1.0,5.0,D,0.163074036,1.272237975,0.0,0.0,0.0,0.0,0.0,0.09043838,10.857464754999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,DEL_T_1_5+,T,1.0,6.0,D,1.2578e-16,21.996824994,0.0,0.0,0.0,0.0,0.0,0.754044282,0.106931025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,INS_C_1_0,C,1.0,1.0,I,1.2578e-16,1.0664999999999999e-16,0.0,0.0,0.0,0.0,0.0,0.19626324099999998,6.221500000000001e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,INS_C_1_1,C,1.0,2.0,I,1.2578e-16,0.006129702,0.0,0.0,0.0,0.0,0.0,0.154007449,0.00022195000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,INS_C_1_2,C,1.0,3.0,I,1.2578e-16,0.0007074,0.0,0.0,0.0,0.0,0.0,0.108417,0.040551645000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,INS_C_1_3,C,1.0,4.0,I,0.032147468000000005,0.011611350000000001,0.0,0.0,0.0,0.0,0.0,0.008273204,6.221500000000001e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,INS_C_1_4,C,1.0,5.0,I,0.06784995,0.078619842,0.0,0.0,0.0,0.0,0.0,0.039346567,0.0002484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,INS_C_1_5+,C,1.0,6.0,I,0.923268368,0.243473472,0.0,0.0,0.0,0.0,0.0,0.034753718999999995,0.0084755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,INS_T_1_0,T,1.0,1.0,I,0.08678531199999999,0.035871012,0.0,0.0,0.0,0.0,0.0,0.32006650900000005,1.4506656599999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
