,Mutation Type,Index,Change,Size,ID_type,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10,ID11,ID12,ID13,ID14,ID15,ID16,ID17
0,DEL_C_1_0,C,1.0,1.0,D,0.001758779,0.0,1.24727109,0.0,1.176711724,0.0,0.0,0.39827557999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,DEL_C_1_1,C,1.0,2.0,D,0.008508753,0.0,2.0887616899999997,0.0,1.513002395,0.0,0.0,0.23915937999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,DEL_C_1_2,C,1.0,3.0,D,3.6409999999999997e-17,0.0,1.76324217,0.0,1.4096371310000002,0.0,0.0,0.03330554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,DEL_C_1_3,C,1.0,4.0,D,0.020983743,0.0,0.64042764,0.0,0.7504334659999999,0.0,0.0,0.05403153000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,DEL_C_1_4,C,1.0,5.0,D,0.00776589,0.0,0.43989807999999997,0.0,0.152291366,0.0,0.0,0.012757089999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,DEL_C_1_5+,C,1.0,6.0,D,0.037071265,0.0,0.22417486,0.0,0.137929797,0.0,0.0,0.009337289999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,DEL_T_1_0,T,1.0,1.0,D,0.014427655,0.0,0.37599229999999995,0.0,5.378500897,0.0,0.0,0.34243687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,DEL_T_1_1,T,1.0,2.0,D,3.6409999999999997e-17,0.0,0.13309824,0.0,5.623279383,0.0,0.0,0.10452075999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,DEL_T_1_2,T,1.0,3.0,D,0.010300983000000001,0.0,0.16501851,0.0,6.048808592,0.0,0.0,0.0899203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,DEL_T_1_3,T,1.0,4.0,D,0.025254404999999997,0.0,0.20141476999999997,0.0,4.714997024,0.0,0.0,0.09825044999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DEL_T_1_4,T,1.0,5.0,D,0.047205642000000006,0.0,0.15814363999999997,0.0,2.769755196,0.0,0.0,0.0127378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,DEL_T_1_5+,T,1.0,6.0,D,3.6409999999999997e-17,0.0,0.08066314,0.0,1.6223577189999998,0.0,0.0,0.10620341999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,INS_C_1_0,C,1.0,1.0,I,3.6409999999999997e-17,0.0,0.02083092,0.0,0.028739356,0.0,0.0,0.027642709999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,INS_C_1_1,C,1.0,2.0,I,3.6409999999999997e-17,0.0,0.015788870000000003,0.0,0.06587359400000001,0.0,0.0,0.02169119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,INS_C_1_2,C,1.0,3.0,I,3.6409999999999997e-17,0.0,0.01747946,0.0,0.167038351,0.0,0.0,0.015269999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,INS_C_1_3,C,1.0,4.0,I,0.009305846000000001,0.0,0.06177647,0.0,0.031950944,0.0,0.0,0.00116524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,INS_C_1_4,C,1.0,5.0,I,0.019640775,0.0,0.07104447,0.0,0.010471846000000002,0.0,0.0,0.00554177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,INS_C_1_5+,C,1.0,6.0,I,0.267261896,0.0,0.07351101,0.0,0.022977832,0.0,0.0,0.00489489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
