signatures	cancer_type	early	clonal	late	subclonal	mean_activity
SBS2	Biliary-AdenoCA	0.141092192	0.125795297	0.086481265	0.058023176	0.102847982
SBS13	Biliary-AdenoCA	0.141092192	0.125795297	0.086481265	0.058023176	0.102847982
SBS40	Biliary-AdenoCA	0.352554991	0.380196104	0.301128922	0.212209917	0.311522483
SBS5	Biliary-AdenoCA	0.267617111	0.34483851	0.195564717	0.155461778	0.240870529
SBS18	Biliary-AdenoCA	0.094904364	0.116218163	0.105871522	0.062035885	0.094757484
SBS12	Biliary-AdenoCA	0.165346172	0.172478598	0.13238341	0.0273255	0.12438342
SBS1	Bladder-TCC	0.062926132	0.057805823	0.10286188	0.027774795	0.062842158
SBS2	Bladder-TCC	0.396613663	0.406006993	0.258470001	0.141440305	0.30063274
SBS13	Bladder-TCC	0.396613663	0.406006993	0.258470001	0.141440305	0.30063274
SBS5	Bladder-TCC	0.390751472	0.36041743	0.2782556	0.125797084	0.288805396
SBS40	Bladder-TCC	0.359957771	0.396979008	0.388406374	0.208073844	0.338354249
SBS5	Bone-Benign	0.150740756	0.421631421	0.041322811	0.289134008	0.225707249
SBS8	Bone-Benign	0.000142005	0.332876367	0.063681013	0.151438653	0.137034509
SBS40	Bone-Benign	0.028301657	0.391748735	0.034186988	0.219723825	0.168490301
SBS1	Bone-Epith	0.117780912	0.115595487	0.057904333	0.051213149	0.08562347
SBS40	Bone-Epith	0.284523385	0.47669713	0.349610553	0.272133808	0.345741219
SBS5	Bone-Epith	0.30308085	0.260264461	0.057613825	0.181734287	0.200673356
SBS3	Bone-Osteosarc	0.265857506	0.351084048	0.337721138	0.298601958	0.313316162
SBS30	Bone-Osteosarc	0.159107727	0.163065771	0.23640294	0.167271025	0.181461866
SBS5	Bone-Osteosarc	0.175030677	0.159978075	0.140929303	0.08597763	0.140478921
SBS2	Bone-Osteosarc	0.149620557	0.087694443	0.149884838	0.065463383	0.113165805
SBS13	Bone-Osteosarc	0.149620557	0.087694443	0.149884838	0.065463383	0.113165805
SBS40	Bone-Osteosarc	0.479635186	0.507279364	0.423250677	0.458707523	0.467218187
SBS17	Bone-Osteosarc	0.042097879	0.090630798	0.135118561	0.089727883	0.08939378
SBS2	Breast-AdenoCA	0.183462258	0.180972042	0.179004939	0.128537253	0.167994123
SBS13	Breast-AdenoCA	0.183462258	0.180972042	0.179004939	0.128537253	0.167994123
SBS5	Breast-AdenoCA	0.374172096	0.363723291	0.247506921	0.241991982	0.306848572
SBS3	Breast-AdenoCA	0.447426717	0.470958689	0.470600037	0.362039121	0.437756141
SBS18	Breast-AdenoCA	0.110659952	0.13015966	0.111408815	0.113858258	0.116521671
SBS1	Breast-LobularCA	0.080510236	0.104723979	0.056917033	0.066391219	0.077135617
SBS18	Breast-LobularCA	0.136742237	0.125927897	0.142428499	0.117208122	0.130576689
SBS5	Breast-LobularCA	0.466276564	0.410102888	0.186225679	0.247921543	0.327631668
SBS2	Breast-LobularCA	0.248093982	0.242960935	0.249887051	0.2089298	0.237467942
SBS13	Breast-LobularCA	0.248093982	0.242960935	0.249887051	0.2089298	0.237467942
SBS1	Cervix-SCC	0.118684897	0.117893229	0.103370355	0.075440303	0.103847196
SBS2	Cervix-SCC	0.390824194	0.395716051	0.294587779	0.353671625	0.358699912
SBS13	Cervix-SCC	0.390824194	0.395716051	0.294587779	0.353671625	0.358699912
SBS5	Cervix-SCC	0.308080649	0.295914801	0.218646027	0.233382583	0.264006015
SBS40	Cervix-SCC	0.209611833	0.251661401	0.235234373	0.369084885	0.266398123
SBS1	CNS-GBM	0.217532687	0.281804808	0.171715261	0.192612729	0.215916371
SBS40	CNS-GBM	0.436567397	0.448475535	0.356746761	0.43880165	0.420147836
SBS5	CNS-GBM	0.332790435	0.310309207	0.243010267	0.256470735	0.285645161
SBS1	CNS-Medullo	0.194492843	0.200443955	0.077401438	0.140999655	0.153334473
SBS18	CNS-Medullo	0.140128005	0.156636892	0.057289505	0.181145886	0.133800072
SBS39	CNS-Medullo	0.095412464	0.133418601	0.074190201	0.21486413	0.129471349
SBS5	CNS-Medullo	0.312878305	0.388620517	0.190996209	0.360273889	0.31319223
SBS40	CNS-Medullo	0.245228832	0.383209239	0.202183921	0.346253457	0.294218862
SBS1	CNS-Oligo	0.10476178	0.179021743	0.073371214	0.15710581	0.128565137
SBS5	CNS-Oligo	0.420165031	0.68740316	0.237149415	0.57773488	0.480613121
SBS1	CNS-PiloAstro	0.083768295	0.279247571	0.019960975	0.158516746	0.135373397
SBS5	CNS-PiloAstro	0.08330984	0.404662101	0.030546233	0.358149234	0.219166852
SBS40	CNS-PiloAstro	0.104464144	0.339419251	0.037483662	0.41754935	0.224729102
SBS1	ColoRect-AdenoCA	0.203672121	0.148093114	0.089122366	0.090078924	0.132741631
SBS10	ColoRect-AdenoCA	0.539129249	0.603345335	0.522760802	0.556970602	0.555551497
SBS28	ColoRect-AdenoCA	0.129779358	0.134170643	0.107441552	0.13228956	0.125920278
SBS5	ColoRect-AdenoCA	0.17094733	0.183551163	0.182460279	0.153017142	0.172493978
SBS37	ColoRect-AdenoCA	0.051604334	0.068752434	0.086651505	0.119939356	0.081736907
SBS40	ColoRect-AdenoCA	0.371496855	0.400347855	0.429478079	0.416826212	0.40453725
SBS18	ColoRect-AdenoCA	0.24717484	0.245580337	0.187231761	0.177105053	0.214272998
SBS6	ColoRect-AdenoCA	0.192832046	0.210760331	0.186634311	0.183368945	0.193398908
SBS14	ColoRect-AdenoCA	0.192832046	0.210760331	0.186634311	0.183368945	0.193398908
SBS15	ColoRect-AdenoCA	0.192832046	0.210760331	0.186634311	0.183368945	0.193398908
SBS20	ColoRect-AdenoCA	0.192832046	0.210760331	0.186634311	0.183368945	0.193398908
SBS21	ColoRect-AdenoCA	0.192832046	0.210760331	0.186634311	0.183368945	0.193398908
SBS26	ColoRect-AdenoCA	0.192832046	0.210760331	0.186634311	0.183368945	0.193398908
SBS44	ColoRect-AdenoCA	0.192832046	0.210760331	0.186634311	0.183368945	0.193398908
SBS17	Eso-AdenoCA	0.350069443	0.332318143	0.222844428	0.169753623	0.268746409
SBS18	Eso-AdenoCA	0.14811471	0.154619281	0.139930544	0.119095051	0.140439897
SBS2	Eso-AdenoCA	0.070963492	0.086330192	0.127881077	0.059492389	0.086166788
SBS13	Eso-AdenoCA	0.070963492	0.086330192	0.127881077	0.059492389	0.086166788
SBS5	Eso-AdenoCA	0.179483217	0.190635846	0.194015486	0.147303815	0.177859591
SBS40	Eso-AdenoCA	0.341146116	0.362783	0.395688004	0.264016093	0.340908303
SBS3	Eso-AdenoCA	0.232194714	0.253050746	0.226449916	0.207282065	0.22974436
SBS18	Head-SCC	0.149296289	0.181242622	0.129860486	0.067965519	0.132091229
SBS2	Head-SCC	0.191134502	0.256986144	0.280889888	0.163808804	0.223204835
SBS13	Head-SCC	0.191134502	0.256986144	0.280889888	0.163808804	0.223204835
SBS5	Head-SCC	0.340146814	0.299446743	0.224894365	0.138509271	0.250749298
SBS40	Head-SCC	0.404620389	0.402342429	0.370936862	0.278440207	0.364084972
SBS1	Kidney-ChRCC	0.067324617	0.176572672	0.056044865	0.201873174	0.125453832
SBS40	Kidney-ChRCC	0.203567277	0.457766637	0.132671503	0.537991026	0.332999111
SBS5	Kidney-ChRCC	0.08712064	0.272842009	0.075609446	0.159869989	0.148860521
SBS2	Kidney-ChRCC	0.072992531	0.067325962	0.087126555	0.103362386	0.082701859
SBS13	Kidney-ChRCC	0.072992531	0.067325962	0.087126555	0.103362386	0.082701859
SBS40	Kidney-RCC.clearcell	0.474995617	0.666178755	0.233165358	0.536413154	0.477688221
SBS5	Kidney-RCC.clearcell	0.184418822	0.135568266	0.0532481	0.095800415	0.117258901
SBS40	Kidney-RCC.papillary	0.502098162	0.521038378	0.202618204	0.409770498	0.40888131
SBS5	Kidney-RCC.papillary	0.184865782	0.205452591	0.223753178	0.261614403	0.218921489
SBS16	Liver-HCC	0.09221474	0.106717561	0.075480239	0.064644019	0.08476414
SBS4	Liver-HCC	0.17880034	0.177484112	0.166880587	0.122605807	0.161442712
SBS5	Liver-HCC	0.564977565	0.570303247	0.424274491	0.358046766	0.479400517
SBS12	Liver-HCC	0.21834543	0.204816156	0.116242935	0.078119757	0.154381069
SBS29	Liver-HCC	0.096485997	0.10681111	0.102299856	0.082712247	0.097077302
SBS40	Liver-HCC	0.344666834	0.390137038	0.398821357	0.305093187	0.359679604
SBS18	Lung-AdenoCA	0.119260969	0.134526221	0.142530775	0.083797623	0.120028897
SBS2	Lung-AdenoCA	0.1208704	0.136755341	0.201063872	0.145795251	0.151121216
SBS13	Lung-AdenoCA	0.1208704	0.136755341	0.201063872	0.145795251	0.151121216
SBS4	Lung-AdenoCA	0.563724996	0.550257347	0.278111242	0.120580989	0.378168644
SBS5	Lung-AdenoCA	0.30448965	0.315349641	0.270500902	0.114702188	0.251260595
SBS40	Lung-AdenoCA	0.428348534	0.403562719	0.390275802	0.320757165	0.385736055
SBS4	Lung-SCC	0.421050993	0.402783454	0.278202313	0.20354598	0.326395685
SBS5	Lung-SCC	0.40548414	0.40359289	0.397657188	0.28478135	0.372878892
SBS2	Lung-SCC	0.124033702	0.138843366	0.224066337	0.148760015	0.158925855
SBS13	Lung-SCC	0.124033702	0.138843366	0.224066337	0.148760015	0.158925855
SBS1	Lymph-BNHL	0.100922905	0.073228087	0.0537291	0.039470642	0.066837684
SBS5	Lymph-BNHL	0.297142023	0.29468942	0.230342202	0.190050138	0.253055946
SBS9	Lymph-BNHL	0.285959892	0.333597016	0.202697195	0.18786266	0.252529191
SBS17	Lymph-BNHL	0.096740486	0.094134614	0.105324017	0.077706528	0.093476411
SBS40	Lymph-BNHL	0.34509948	0.392722171	0.294965489	0.221644673	0.313607953
SBS6	Lymph-BNHL	0.061350389	0.074963223	0.104129033	0.026966423	0.066852267
SBS14	Lymph-BNHL	0.061350389	0.074963223	0.104129033	0.026966423	0.066852267
SBS15	Lymph-BNHL	0.061350389	0.074963223	0.104129033	0.026966423	0.066852267
SBS20	Lymph-BNHL	0.061350389	0.074963223	0.104129033	0.026966423	0.066852267
SBS21	Lymph-BNHL	0.061350389	0.074963223	0.104129033	0.026966423	0.066852267
SBS26	Lymph-BNHL	0.061350389	0.074963223	0.104129033	0.026966423	0.066852267
SBS44	Lymph-BNHL	0.061350389	0.074963223	0.104129033	0.026966423	0.066852267
SBS37	Lymph-BNHL	0.106781721	0.107739137	0.093017885	0.074212066	0.095437702
SBS1	Lymph-CLL	0.078549325	0.100392039	0.028065854	0.095665635	0.075668213
SBS40	Lymph-CLL	0.126968469	0.341186982	0.032306404	0.383035612	0.220874367
SBS5	Lymph-CLL	0.211435066	0.43498009	0.032953968	0.502699385	0.295517127
SBS9	Lymph-CLL	0.072990552	0.402443026	0.050803488	0.095772752	0.155502455
SBS1	Myeloid-AML	0.022335277	0.152847767	0.006215631	0.156705435	0.084526028
SBS18	Myeloid-AML	0.118197097	0.079251566	0	0.268917091	0.116591439
SBS5	Myeloid-AML	0.208079949	0.673769347	0.051952353	0.422105455	0.338976776
SBS1	Myeloid-MPN	0.082750721	0.154407007	0.0762433	0.145512863	0.114728473
SBS5	Myeloid-MPN	0.188299047	0.650035387	0.221392242	0.604116513	0.415960797
SBS3	Ovary-AdenoCA	0.425021799	0.460902622	0.485613717	0.425098254	0.449159098
SBS40	Ovary-AdenoCA	0.386564638	0.387640731	0.351155574	0.26865549	0.348504108
SBS5	Ovary-AdenoCA	0.276395421	0.235035123	0.195945906	0.173468732	0.220211295
SBS18	Ovary-AdenoCA	0.094017569	0.107783006	0.103364606	0.101708952	0.101718533
SBS1	Panc-AdenoCA	0.199141567	0.193451262	0.126473879	0.117014902	0.159020402
SBS2	Panc-AdenoCA	0.083760162	0.065469406	0.11518146	0.082015147	0.086606544
SBS13	Panc-AdenoCA	0.083760162	0.065469406	0.11518146	0.082015147	0.086606544
SBS3	Panc-AdenoCA	0.31346732	0.315738004	0.270335976	0.281271191	0.295203123
SBS40	Panc-AdenoCA	0.384461112	0.400915963	0.355909265	0.398322945	0.384902321
SBS5	Panc-AdenoCA	0.298267902	0.300304403	0.198107648	0.212025942	0.252176474
SBS18	Panc-AdenoCA	0.114661972	0.133835323	0.129287987	0.124627104	0.125603097
SBS17	Panc-AdenoCA	0.053108294	0.069748913	0.09103804	0.100944738	0.078709996
SBS3	Panc-Endocrine	0.174248849	0.27213052	0.093820412	0.345974277	0.221543514
SBS30	Panc-Endocrine	0.071246324	0.082842582	0.051093822	0.118644686	0.080956854
SBS5	Panc-Endocrine	0.282495888	0.559319661	0.196105198	0.481450098	0.379842711
SBS36	Panc-Endocrine	0.037438345	0.077870143	0.05042938	0.126948556	0.073171606
SBS2	Panc-Endocrine	0.057999993	0.071059097	0.048909861	0.101053953	0.069755726
SBS13	Panc-Endocrine	0.057999993	0.071059097	0.048909861	0.101053953	0.069755726
SBS1	Prost-AdenoCA	0.069120615	0.172622355	0.039927955	0.12812549	0.102449104
SBS5	Prost-AdenoCA	0.117671453	0.351800024	0.051037354	0.243336617	0.190961362
SBS40	Prost-AdenoCA	0.195056457	0.435733586	0.10239473	0.38509247	0.279569311
SBS18	Prost-AdenoCA	0.060792785	0.117800086	0.030507402	0.110430437	0.079882678
SBS5	Skin-Melanoma	0.081984701	0.086978048	0.168099508	0.068145595	0.101301963
SBS7	Skin-Melanoma	0.868710407	0.851440683	0.616167188	0.222588599	0.639726719
SBS38	Skin-Melanoma	0.034494751	0.107137846	0.157996583	0.112667241	0.103074105
SBS2	Skin-Melanoma	0.137088805	0.078720317	0.101086565	0.06869185	0.096396884
SBS13	Skin-Melanoma	0.137088805	0.078720317	0.101086565	0.06869185	0.096396884
SBS40	Skin-Melanoma	0.41997739	0.427524523	0.489011337	0.338276669	0.41869748
SBS2	SoftTissue-Leiomyo	0.082881226	0.056605846	0.180450361	0.082719175	0.100664152
