Cancer Types,Sample Names,Accuracy,DBS1,DBS2,DBS3,DBS4,DBS5,DBS6,DBS7,DBS8,DBS9,DBS10,DBS11
Biliary-AdenoCA,SP117655,0.848,0,91,0,0,0,0,0,0,0,0,0
Biliary-AdenoCA,SP117556,0.903,0,37,0,0,0,0,0,0,0,0,0
Biliary-AdenoCA,SP117627,0.729,0,1,0,7,0,0,0,0,0,0,14
Biliary-AdenoCA,SP117775,0.649,0,52,0,0,0,0,0,0,0,0,0
Biliary-AdenoCA,SP117332,0.893,0,14,0,0,0,0,0,0,0,0,0
Biliary-AdenoCA,SP117712,0.849,0,76,0,0,0,0,0,0,0,0,0
Biliary-AdenoCA,SP117017,0.814,0,4,0,5,0,0,0,0,0,0,9
Biliary-AdenoCA,SP117031,0.732,0,10,0,0,0,12,0,0,22,0,0
Biliary-AdenoCA,SP117759,0.872,0,18,0,12,0,0,0,0,0,0,25
Biliary-AdenoCA,SP117621,0.947,0,73,0,0,0,0,0,0,0,0,0
Biliary-AdenoCA,SP117425,0.816,0,12,0,17,0,0,0,0,0,0,21
Biliary-AdenoCA,SP117930,0.908,0,79,0,0,0,0,0,0,0,0,0
Biliary-AdenoCA,SP99287,0.827,0,25,0,0,0,0,0,0,0,0,0
Biliary-AdenoCA,SP99293,0.927,0,38,0,54,0,0,0,0,0,0,0
Biliary-AdenoCA,SP99289,0.984,0,149,0,0,0,0,0,0,0,0,0
Biliary-AdenoCA,SP99297,0.712,0,0,0,2,0,4,0,0,0,0,3
Biliary-AdenoCA,SP99301,0.242,0,1,0,0,0,0,9,0,0,0,0
Biliary-AdenoCA,SP99305,0.796,0,7,0,16,0,0,0,0,0,0,0
Biliary-AdenoCA,SP99309,0.693,0,7,0,7,0,0,0,0,21,0,0
Biliary-AdenoCA,SP99313,0.824,0,14,0,39,0,0,0,0,0,0,0
Biliary-AdenoCA,SP99317,0.603,0,2,0,4,0,5,0,0,0,0,0
Biliary-AdenoCA,SP99321,0.792,0,6,0,11,0,0,0,0,0,0,0
Biliary-AdenoCA,SP99325,0.634,0,15,0,0,0,0,135,0,153.02,0,0
Biliary-AdenoCA,SP99329,0.792,0,36,0,50,0,0,0,0,0,0,0
Biliary-AdenoCA,SP99333,0.674,0,0,0,0,0,0,0,5,0,0,6
Biliary-AdenoCA,SP99337,0.753,0,4,0,6,0,0,0,0,0,0,13
Biliary-AdenoCA,SP99341,0.696,0,3,0,5,7,0,0,0,15,0,0
Biliary-AdenoCA,SP99345,0.825,0,29,0,0,0,0,0,0,0,0,0
Biliary-AdenoCA,SP99113,0.771,0,3,0,0,4,0,0,0,0,0,6
Biliary-AdenoCA,SP99185,0.905,0,53,0,0,0,0,0,0,0,0,0
Biliary-AdenoCA,SP99209,0.988,0,135,0,0,0,0,0,0,0,0,0
Biliary-AdenoCA,SP99213,0.522,0,3,0,16,0,0,0,0,0,0,21
Biliary-AdenoCA,SP99221,0.859,0,4,0,4,0,0,0,0,0,0,0
Biliary-AdenoCA,SP99225,0.86,0,24,0,0,0,0,0,0,0,0,0
Biliary-AdenoCA,SP99241,0.947,0,149,0,0,0,0,0,0,0,0,0
Bladder-TCC,SP1086,0.923,0,28,0,18,0,0,0,0,0,0,27
Bladder-TCC,SP1003,0.912,0,89,0,0,0,0,0,0,0,0,0
Bladder-TCC,SP1677,0.931,0,28,0,0,0,0,0,0,0,0,63
Bladder-TCC,SP1305,0.925,0,350,0,0,0,0,0,0,0,0,0
Bladder-TCC,SP963,0.936,0,27,0,0,0,0,0,0,0,0,66
Bladder-TCC,SP1144,0.868,0,21,0,0,0,0,0,0,0,0,38
Bladder-TCC,SP1132,0.843,0,18,0,0,0,33,0,0,0,0,27
Bladder-TCC,SP1712,0.855,0,1,0,0,5,0,0,0,0,0,13
Bladder-TCC,SP1114,0.966,0,58,0,0,0,0,0,0,0,0,0
Bladder-TCC,SP1431,0.903,0,3,0,0,0,0,0,0,0,0,20
Bladder-TCC,SP975,0.854,0,49,0,72,0,0,0,0,0,0,0
Bladder-TCC,SP1059,0.956,0,492.05,0,0,0,0,0,0,0,0,0
Bladder-TCC,SP1419,0.749,0,0,0,23,0,0,0,0,0,0,26
Bladder-TCC,SP1009,0.745,0,12,0,29,0,0,0,0,0,0,25
Bladder-TCC,SP1724,0.894,0,52,0,0,0,0,0,0,0,0,0
Bladder-TCC,SP96136,0.923,0,56,0,41,0,0,0,0,0,0,85
Bladder-TCC,SP967,0.598,0,3,0,0,0,0,0,0,10,0,0
Bladder-TCC,SP1781,0.921,0,19,0,0,0,0,0,0,0,0,45
Bladder-TCC,SP1174,0.839,0,9,0,24,0,32,0,0,0,0,0
Bladder-TCC,SP953,0.942,0,30,0,29,0,0,0,0,0,0,64
Bladder-TCC,SP1377,0.819,0,14,0,0,0,0,0,0,0,0,19
Bladder-TCC,SP1365,0.874,0,18,0,23,0,0,0,0,0,0,29
Bladder-TCC,SP1491,0.875,0,58,0,0,0,0,0,0,0,0,0
Bone-Benign,SP116536,0.698,0,2,0,0,0,0,0,0,0,0,0
Bone-Benign,SP116539,0.793,0,1,0,0,0,0,0,1,0,0,0
Bone-Benign,SP116545,0.497,0,0,0,0,0,3,0,0,0,0,0
Bone-Benign,SP116548,0.681,0,0,0,0,1,0,2,0,0,0,0
Bone-Benign,SP116550,0.999,1,0,0,0,0,0,0,0,0,0,0
Bone-Benign,SP116553,0.166,0,0,0,0,0,1,0,0,0,0,0
Bone-Benign,SP116559,0.856,1,0,0,0,0,1,0,0,0,0,0
Bone-Benign,SP116562,0.747,0,6.6,0,0,0,0,0,0,0,0,0
Bone-Benign,SP116564,0.059,0,0,0,0,0,0,0,0,2,0,0
Bone-Benign,SP116571,0.681,0,0,0,0,0,0,0,0,0,0,6
Bone-Epith,SP116419,0.91,0,10,0,3,0,0,9,0,0,0,0
Bone-Epith,SP116383,0.87,0,12,0,11,0,0,17.29,0,0,0,11
Bone-Epith,SP116385,0.781,0,4,0,1,0,0,0,0,6,0,1
Bone-Epith,SP116440,0.425,0,0,0,0,0,0,4,0,0,0,1
Bone-Epith,SP116450,0.941,0,18,0,9,0,0,17,0,0,0,7
Bone-Epith,SP116493,0.184,0,0,0,0,0,0,1,0,3,0,0
Bone-Epith,SP116391,0.674,0,2,0,5,0,0,0,0,0,0,5
Bone-Epith,SP116401,0.882,0,1,0,4,0,0,0,0,0,0,0
Bone-Epith,SP116409,0.693,0,13,0,0,0,0,0,0,0,0,0
Bone-Epith,SP116416,0.875,0,4,0,2,0,0,0,0,0,0,0
Bone-Epith,SP116424,0.655,0,1,0,0,0,0,0,0,2,0,0
Bone-Osteosarc,SP116515,0.682,0,8,0,0,21,0,0,0,0,0,0
Bone-Osteosarc,SP116499,0.831,0,21,0,0,0,0,0,0,0,0,0
Bone-Osteosarc,SP116505,0.607,0,2,0,2,0,0,0,0,0,0,3
Bone-Osteosarc,SP116509,0.617,0,0,0,16,0,0,0,0,0,0,0
Bone-Osteosarc,SP116437,0.985,0,1,0,0,0,0,0,0,0,0,0
Bone-Osteosarc,SP116512,0.833,0,8,0,7,0,0,0,0,0,0,9
Bone-Osteosarc,SP116465,0.754,0,3,0,0,0,8,0,0,0,0,0
Bone-Osteosarc,SP116496,0.683,0,70,0,0,0,0,0,0,0,0,0
Bone-Osteosarc,SP116525,0.833,0,7,0,0,0,0,0,0,0,0,17
Bone-Osteosarc,SP116481,0.765,0,4,0,0,0,0,0,0,0,0,15
Bone-Osteosarc,SP116586,0.914,0,14,0,0,0,0,0,0,0,0,0
Bone-Osteosarc,SP116528,0.831,0,11,0,16,0,0,0,0,0,0,0
Bone-Osteosarc,SP116589,0.862,0,19,0,0,17,25,0,0,0,0,0
Bone-Osteosarc,SP116406,0.777,0,10,0,0,0,0,0,0,0,0,0
Bone-Osteosarc,SP116484,0.745,0,6,0,0,0,0,0,0,0,0,0
Bone-Osteosarc,SP116453,0.843,0,10,0,0,0,0,0,0,0,0,0
Bone-Osteosarc,SP116469,0.651,0,48,0,0,0,0,0,0,0,0,0
Bone-Osteosarc,SP116578,0.696,0,49,0,0,0,0,0,0,0,0,0
Bone-Osteosarc,SP116531,0.569,0,3,0,0,0,0,0,0,0,0,0
Bone-Osteosarc,SP116593,0.816,0,3,0,0,0,8,0,0,0,0,6
Bone-Osteosarc,SP116487,0.661,1,1,0,0,0,0,4,0,0,0,0
Bone-Osteosarc,SP116456,0.379,0,0,0,0,0,0,12,0,0,0,10
